"id","ts","temp_c","led_on","raw_adc","v_volts","rt_kohm","device_id","source"
"1504","2025-11-14 10:39:56.188898-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1503","2025-11-14 10:39:46.179326-03","23.110",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1502","2025-11-14 10:39:36.167771-03","23.070",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1501","2025-11-14 10:39:26.15781-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1500","2025-11-14 10:39:16.147342-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1499","2025-11-14 10:39:06.13663-03","23.040",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1498","2025-11-14 10:38:56.126459-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1497","2025-11-14 10:38:46.115563-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1496","2025-11-14 10:38:36.105201-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1495","2025-11-14 10:38:26.094588-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1494","2025-11-14 10:38:16.083717-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1493","2025-11-14 10:38:06.073549-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1492","2025-11-14 10:37:56.062394-03","22.970",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1491","2025-11-14 10:37:46.05167-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
